,species,k,lag,smoother,log_likelihood,num_train_states,num_test_states
328,mul,0,90,0.01,-2.222907762165836,1,1
329,mul,0,100,0.01,-2.222907762165836,1,1
330,mul,0,1,0.1,-2.222907759460115,1,1
331,mul,0,10,0.1,-2.222907759460115,1,1
332,mul,0,20,0.1,-2.222907759460115,1,1
333,mul,0,30,0.1,-2.222907759460115,1,1
334,mul,0,40,0.1,-2.222907759460115,1,1
335,mul,0,50,0.1,-2.222907759460115,1,1
336,mul,0,60,0.1,-2.222907759460115,1,1
337,mul,0,70,0.1,-2.222907759460115,1,1
338,mul,0,80,0.1,-2.222907759460115,1,1
339,mul,0,90,0.1,-2.222907759460115,1,1
340,mul,0,100,0.1,-2.222907759460115,1,1
341,mul,0,1,1.0,-2.222907732419059,1,1
342,mul,0,10,1.0,-2.222907732419059,1,1
343,mul,0,20,1.0,-2.222907732419059,1,1
344,mul,0,30,1.0,-2.222907732419059,1,1
345,mul,0,40,1.0,-2.222907732419059,1,1
346,mul,0,50,1.0,-2.222907732419059,1,1
347,mul,0,60,1.0,-2.222907732419059,1,1
348,mul,0,70,1.0,-2.222907732419059,1,1
349,mul,0,80,1.0,-2.222907732419059,1,1
350,mul,0,90,1.0,-2.222907732419059,1,1
351,mul,0,100,1.0,-2.222907732419059,1,1
352,mul,1,1,0.001,-0.1227676521144416,10,10
353,mul,1,10,0.001,-0.12283342891676387,10,10
354,mul,1,20,0.001,-0.12283679565064613,10,10
355,mul,1,30,0.001,-0.1226063923801735,10,10
356,mul,1,40,0.001,-0.12241092782105249,10,10
357,mul,1,50,0.001,-0.12239935447260261,10,10
358,mul,1,60,0.001,-0.12218214137737052,10,10
359,mul,1,70,0.001,-0.12203793468181606,10,10
360,mul,1,80,0.001,-0.12208236028296707,10,10
361,mul,1,90,0.001,-0.12207547008581182,10,10
362,mul,1,100,0.001,-0.12207950989184008,10,10
363,mul,1,1,0.01,-0.12276798474571386,10,10
364,mul,1,10,0.01,-0.12283375690348732,10,10
365,mul,1,20,0.01,-0.12283712754908198,10,10
366,mul,1,30,0.01,-0.12260672725845105,10,10
367,mul,1,40,0.01,-0.12241127455218746,10,10
368,mul,1,50,0.01,-0.12239970326640216,10,10
369,mul,1,60,0.01,-0.12218249362942898,10,10
370,mul,1,70,0.01,-0.12203828877220389,10,10
371,mul,1,80,0.01,-0.12208271713621383,10,10
372,mul,1,90,0.01,-0.12207582939920021,10,10
373,mul,1,100,0.01,-0.12207987124071777,10,10
374,mul,1,1,0.1,-0.12277134791076892,10,10
375,mul,1,10,0.1,-0.12283707547826195,10,10
376,mul,1,20,0.1,-0.12284048555501378,10,10
377,mul,1,30,0.1,-0.12261011535870182,10,10
378,mul,1,40,0.1,-0.1224147800992914,10,10
379,mul,1,50,0.1,-0.12240322979092666,10,10
380,mul,1,60,0.1,-0.12218605505676283,10,10
381,mul,1,70,0.1,-0.12204186898611734,10,10
382,mul,1,80,0.1,-0.12208632532700717,10,10
383,mul,1,90,0.1,-0.12207946256081366,10,10
384,mul,1,100,0.1,-0.12208352512534032,10,10
385,mul,1,1,1.0,-0.12280790768972565,10,10
