,sim,alpha,corpusSize,trueK,bestK,best_ll,correct,entropy,nStates,way,bestLag
211,1,1.0,10,2,1,-0.254194577019125,0,0.7443751322200385,5,lagged,20.0
212,1,1.0,50,2,2,-0.2798453854801217,1,0.8212681365222896,5,semicol,
213,1,1.0,50,2,1,-0.2364786755539183,0,0.8079447245430182,5,lagged,50.0
214,1,1.0,100,2,2,-0.27416102895568306,1,0.8212081231866886,5,semicol,
215,1,1.0,100,2,2,-0.2633667393132125,1,0.7770446796456912,5,lagged,50.0
216,1,0.1,10,3,3,-0.1884693187918464,1,0.0,2,semicol,
217,1,0.1,10,3,1,-0.20018966430010757,0,0.0,2,lagged,20.0
218,1,0.1,50,3,3,-0.18701439948441698,1,0.0,2,semicol,
219,1,0.1,50,3,2,-0.1810938670147701,0,0.0,2,lagged,50.0
220,1,0.1,100,3,2,-0.20991777888928115,0,0.0,2,semicol,
221,1,0.1,100,3,1,-0.17395143554195625,0,0.0,2,lagged,50.0
222,1,0.5,10,3,4,-0.12679967471368836,0,0.0,2,semicol,
223,1,0.5,10,3,3,-0.16699428275096467,1,0.0,2,lagged,20.0
224,1,0.5,50,3,4,-0.17583992570445367,0,0.0,2,semicol,
225,1,0.5,50,3,2,-0.17518748509219972,0,0.0,2,lagged,50.0
226,1,0.5,100,3,2,-0.19713635468299814,0,0.0,2,semicol,
227,1,0.5,100,3,4,-0.18452596319343662,0,0.0,2,lagged,30.0
228,1,1.0,10,3,4,-0.22442929392404318,0,0.0,2,semicol,
229,1,1.0,10,3,3,-0.11872981988221763,1,0.0,2,lagged,50.0
230,1,1.0,50,3,4,-0.17898278682333277,0,0.0,2,semicol,
231,1,1.0,50,3,2,-0.17717539452057626,0,0.0,2,lagged,50.0
232,1,1.0,100,3,4,-0.19364735045269277,0,0.0,2,semicol,
233,1,1.0,100,3,2,-0.16964186935863507,0,0.0,2,lagged,30.0
234,1,0.1,10,3,4,-0.2834506509845184,0,0.23065631982576548,3,semicol,
235,1,0.1,10,3,1,-0.22955720934577356,0,0.10142395661554506,3,lagged,20.0
236,1,0.1,50,3,3,-0.2061864457780945,1,0.2592219869431991,3,semicol,
237,1,0.1,50,3,2,-0.18642329040558422,0,0.18282805932617718,3,lagged,50.0
238,1,0.1,100,3,4,-0.1962103690665878,0,0.22847673724721118,3,semicol,
239,1,0.1,100,3,1,-0.20505576232631018,0,0.13183111474567763,3,lagged,50.0
240,1,0.5,10,3,3,-0.2465820185615942,1,0.6068107443660784,3,semicol,
241,1,0.5,10,3,1,-0.2716158966329818,0,0.5770939114564957,3,lagged,20.0
242,1,0.5,50,3,2,-0.2524671972142676,0,0.5552096144913523,3,semicol,
243,1,0.5,50,3,2,-0.21986440019281508,0,0.5169380379799811,3,lagged,50.0
244,1,0.5,100,3,3,-0.2283545252540389,1,0.6070852688677769,3,semicol,
245,1,0.5,100,3,3,-0.22342104938371118,1,0.45392391722698566,3,lagged,50.0
246,1,1.0,10,3,3,-0.27360330837061764,1,0.8157564176382974,3,semicol,
247,1,1.0,10,3,1,-0.17245798687285624,0,0.7249702148632076,3,lagged,50.0
248,1,1.0,50,3,2,-0.23901363156813749,0,0.6424298121348871,3,semicol,
249,1,1.0,50,3,3,-0.18860973643679674,1,0.7506223035418286,3,lagged,50.0
250,1,1.0,100,3,3,-0.2205288369796589,1,0.6960039007650899,3,semicol,
251,1,1.0,100,3,1,-0.23475572695562666,0,0.8177818753570564,3,lagged,30.0
252,1,0.1,10,3,4,-0.1696545434377727,0,0.18351870100923595,4,semicol,
253,1,0.1,10,3,1,-0.2423801762790414,0,0.22122143969503238,4,lagged,20.0
254,1,0.1,50,3,3,-0.21348069515052767,1,0.24531547338870732,4,semicol,
255,1,0.1,50,3,1,-0.2058981268382221,0,0.19527627939930725,4,lagged,30.0
256,1,0.1,100,3,2,-0.24571155824894705,0,0.2935455100407787,4,semicol,
257,1,0.1,100,3,3,-0.20590875354015256,1,0.2050144350901088,4,lagged,30.0
258,1,0.5,10,3,1,-0.2547260921037043,0,0.5902180896524611,4,semicol,
259,1,0.5,10,3,1,-0.23862338758045784,0,0.5953257678196984,4,lagged,50.0
260,1,0.5,50,3,2,-0.2536642968235984,0,0.6302054810315005,4,semicol,
261,1,0.5,50,3,1,-0.24501647303441246,0,0.598838340550808,4,lagged,50.0
262,1,0.5,100,3,3,-0.23249601952996674,1,0.6242792589978232,4,semicol,
263,1,0.5,100,3,1,-0.24606331909866946,0,0.6009620490278853,4,lagged,50.0
264,1,1.0,10,3,2,-0.2792993930445563,0,0.7794318276686341,4,semicol,
265,1,1.0,10,3,1,-0.2361599858549756,0,0.7503088400299551,4,lagged,50.0
266,1,1.0,50,3,3,-0.24772981379616074,1,0.740553359732737,4,semicol,
267,1,1.0,50,3,2,-0.2347945748668417,0,0.76437954086059,4,lagged,50.0
268,1,1.0,100,3,3,-0.2447542860361406,1,0.7394700476437235,4,semicol,
269,1,1.0,100,3,1,-0.24720913809788417,0,0.7328474187892854,4,lagged,50.0
270,1,0.1,10,3,1,-0.26953403346837107,0,0.2603016468337358,5,semicol,
271,1,0.1,10,3,1,-0.16478047920103417,0,0.2855557139288165,5,lagged,30.0
272,1,0.1,50,3,4,-0.20118515471699958,0,0.2525824368192285,5,semicol,
273,1,0.1,50,3,1,-0.25662428266914233,0,0.2549480010008857,5,lagged,20.0
274,1,0.1,100,3,2,-0.2607605311445914,0,0.25592655008700615,5,semicol,
275,1,0.1,100,3,1,-0.23412119685473898,0,0.2800127362671552,5,lagged,50.0
276,1,0.5,10,3,1,-0.3368406725885961,0,0.6503905076008388,5,semicol,
277,1,0.5,10,3,1,-0.21953670586291282,0,0.6433484114725385,5,lagged,20.0
278,1,0.5,50,3,2,-0.2544503147236617,0,0.6363544925734884,5,semicol,
279,1,0.5,50,3,1,-0.20741516631256668,0,0.648187064282691,5,lagged,50.0
280,1,0.5,100,3,2,-0.24667911596190426,0,0.6112507458801475,5,semicol,
281,1,0.5,100,3,1,-0.21793305959921855,0,0.6358181080829765,5,lagged,20.0
282,1,1.0,10,3,1,-0.2740982455724429,0,0.7755987145653999,5,semicol,
283,1,1.0,10,3,1,-0.20612680441189987,0,0.7882175963367295,5,lagged,30.0
284,1,1.0,50,3,2,-0.3102585755609484,0,0.7665203093502013,5,semicol,
285,1,1.0,50,3,1,-0.22028605659766287,0,0.793956781318822,5,lagged,30.0
